anton_rudnev,DC,Anton Rudnev,(*),Consultant,3299952116
WaltMaddox,AL,Walter Maddox,(D),Governor (C),28910709
kayiveyforgov,AL,Kay Ivey,(R),Governor (I),903636248308436992
MarkBegich,AK,Mark Begich,(D),Governor (C),14354562
BillWalkerAk,AK,Bill Walker,(I),Governor (I),2915095729
MikeDunleavyGov,AK,Mike Dunleavy,(R),Governor (C),1081991142
dg4az,AZ,David Garcia,(D),Governor (C),1309287014
dougducey,AZ,Doug Ducey,(R),Governor (I),20217019
JaredforGov,AR,Jared Henderson,(D),Governor (C),938873003617726466
AsaforAR,AR,Asa Hutchinson,(R),Governor (I),844710541847384064
GavinNewsom,CA,Gavin Newsom,(D),Governor (IP),11347122
TheRealJohnHCox,CA,John Cox,(R),Governor (C),828473644640718848
jaredpolis,CO,Jared Polis,(D),Governor (IP),15361570
WalkerStapleton,CO,Walker Stapleton,(R),Governor (C),29483720
NedLamont,CT,Ned Lamont,(D),Governor (IP),24972208
bobforgovernor,CT,Bob Stefanowski,(R),Governor (C),908458972570583046
AndrewGillum,FL,Andrew Gillum,(D),Governor (C),465046121
RonDeSantisFL,FL,Ron DeSantis,(R),Governor (IP),487297085
staceyabrams,GA,Stacey Abrams,(D),Governor (C),216065430
BrianKempGA,GA,Brian Kemp,(R),Governor (IP),47437206
GovHawaii,HI,David Ige,(D),Governor (I),2916915026
votetupola,HI,Andria Tupola,(R),Governor (C),2399067578
PauletteEJordan,ID,Paulette Jordan,(D),Governor (C),2942421722
GovernorLittle,ID,Brad Little,(R),Governor (IP),41266395
JBPritzker,IL,J.B. Pritzker,(D),Governor (C),45550693
brucerauner,IL,Bruce Rauner,(R),Governor (I),1004855106
FredHubbell,IA,Fred Hubbell,(D),Governor (C),861659421470072836
KimReynoldsIA,IA,Kim Reynolds,(R),Governor (I),31591773
LauraKellyKS,KS,Laura Kelly,(D),Governor (C),364864453
KrisKobach1787,KS,Kris Kobach,(R),Governor (IP),193160214
JanetMillsforME,ME,Janet Mills,(D),Governor (C),884476034506248194
Moody4Gov,ME,Shawn Moody,(R),Governor (IP),932625842852761600
BenJealous,MD,Ben Jealous,(D),Governor (C),43638469
GovLarryHogan,MD,Larry Hogan,(R),Governor (I),2987671552
jay4ma,MA,Jay Gonzalez,(D),Governor (C),823215775980912640
BakerPolito,MA,Charlie Baker,(R),Governor (I),925369094899150849
GovWhitmer,MI,Gretchen Whitmer,(D),Governor (C),102071743
SchuetteOnDuty,MI,Bill Schuette,(R),Governor (IP),87732473
Tim_Walz,MN,Tim Walz,(D),Governor (IP),85726335
MNJeffJohnson,MN,Jeff Johnson,(R),Governor (C),1304012262
bobkristne,NE,Bob Krist,(D),Governor (C),873956179294203904
RickettsForGov,NE,Pete Ricketts,(R),Governor (I),1591322215
stevesisolak,NV,Steve Sisolak,(D),Governor (C),3124524385
AdamLaxalt,NV,Adam Laxalt,(R),Governor (IP),1170886272
NHMollyKelly,NH,Molly Kelly,(D),Governor (C),28556611
ChrisSununu,NH,Chris Sununu,(R),Governor (I),95943434
Michelle4NM,NM,Michelle Lujan Grisham,(D),Governor (C),368472546
repstevepearce,NM,Steve Pearce,(R),Governor (IP),235271965
NYGovCuomo,NY,Andrew Cuomo,(D),Governor (I),232268199
marcmolinaro,NY,Marc Molinaro,(R),Governor (C),17581393
RichCordray,OH,Richard Cordray,(D),Governor (C),19637767
MikeDeWine,OH,Mike DeWine,(R),Governor (IP),30887511
DrewForOklahoma,OK,Drew Edmonson,(D),Governor (C),856727566123716609
GovStitt,OK,Kevin Stitt,(R),Governor (IP),865210877678686208
KateBrownForOR,OR,Kate Brown,(D),Governor (I),415117361
KnuteBuehler,OR,Knute Buehler,(R),Governor (C),18838327
GovernorTomWolf,PA,Tom Wolf,(D),Governor (I),2978837542
realScottWagner,PA,Scott Wagner,(R),Governor (C),543969777
GinaRaimondo,RI,Gina Raimondo,(D),Governor (I),113795716
AllanFungRI,RI,Allan Fung,(R),Governor (C),878984646
JamesSmithforSC,SC,Jim Smith,(D),Governor (C),341560822
henrymcmaster,SC,Henry McMaster,(R),Governor (I),16335288
billiehsutton,SD,Billie Sutton,(D),Governor (C),305682984
KristiNoem,SD,Kristi Noem,(R),Governor (IP),114388293
karlfdean,TN,Karl Dean,(D),Governor (C),249208162
BillLeeTN,TN,Bill Lee,(R),Governor (IP),823248562851037185
LupeValdez,TX,Lupe Valdez,(D),Governor (C),607721548
GregAbbott_TX,TX,Greg Abbott,(R),Governor (I),90651198
christine4world,VT,Christine Hallquist,(D),Governor (C),16935074
PhilScott4VT,VT,Phil Scott,(R),Governor (I),3528685397
Tony4WI,WI,Tony Evers,(D),Governor (C),816819836105949184
GovWalker,WI,Scott Walker,(R),Governor (I),213795411
wymatters,WY,Mary Throne,(D),Governor (C),493569257
Mark_Gordon_WY,WY,Mark Gordon,(R),Governor (IP),22266893
